"Послуга","Корпоративний клієнт","average_duration"
ДВЗ,B2B,76.24
Паливна,B2B,23.32
Інше,B2B,20.92
Турбіна,B2B,19.03
ТО,B2B,18.00
Рульова рейка,B2B,14.39
Ходова,B2B,13.00
Маховик,B2B,11.46
МКПП,B2B,10.50
Карданний вал,B2B,10.40
Прошивка,B2B,9.31
Електрика,B2B,6.71
Пневмо,B2B,6.00
Сажа,B2B,5.62
Кондиціонери,B2B,4.60
Діагностика,B2B,0.00
МКПП,B2C,23.86
ДВЗ,B2C,20.52
Паливна,B2C,19.81
Карданний вал,B2C,13.75
Маховик,B2C,12.88
Турбіна,B2C,9.69
Рульова рейка,B2C,8.71
Пневмо,B2C,7.22
Інше,B2C,5.19
Електрика,B2C,4.35
Сажа,B2C,2.63
Ходова,B2C,2.58
ГБО,B2C,2.00
ТО,B2C,1.74
Прошивка,B2C,1.51
Кондиціонери,B2C,0.96
Воднева очистка,B2C,0.94
Діагностика,B2C,0.83
